Date,Open,High,Low,Close,Volume,wind_code
2018/3/29,2699.1359,2757.7792,2657.492,2738.7906,4235391900,000016.SH
2018/3/28,2714.8736,2746.8803,2687.9567,2694.8259,3458348600,000016.SH
2018/3/27,2775.6346,2780.8388,2726.3603,2747.5872,3921166400,000016.SH
2018/3/26,2767.3635,2773.5378,2709.568,2738.868,4274221000,000016.SH
2018/3/23,2786.531,2800.2467,2754.6598,2791.4674,6262325100,000016.SH
2018/3/22,2894.1292,2902.7671,2851.294,2866.6702,3050580800,000016.SH
2018/3/21,2928.9996,2932.2176,2879.5251,2894.1835,3338876200,000016.SH
2018/3/20,2878.9533,2907.5229,2877.0999,2904.3972,2712940300,000016.SH
2018/3/19,2870.3649,2898.2345,2856.171,2897.2558,2604293000,000016.SH
2018/3/16,2895.5064,2911.1939,2869.9671,2870.7318,2719210100,000016.SH
2018/3/15,2860.4136,2895.6118,2860.4136,2894.9828,2626007500,000016.SH
2018/3/14,2871.7227,2879.5374,2860.9695,2871.334,3088630100,000016.SH
2018/3/13,2909.2478,2921.3074,2878.2003,2883.3771,4060760300,000016.SH
2018/3/12,2922.6177,2927.5081,2897.2355,2909.5793,4498507600,000016.SH
2018/3/9,2907.0416,2916.5531,2891.8682,2908.1974,3150449000,000016.SH
2018/3/8,2878.8198,2903.0532,2865.5516,2898.2542,2896303700,000016.SH
2018/3/7,2892.442,2921.4421,2868.0359,2878.1506,3791765800,000016.SH
2018/3/6,2878.9177,2893.462,2838.6092,2892.4752,4759357600,000016.SH
2018/3/5,2865.2016,2889.7377,2846.9319,2863.9909,2996714900,000016.SH
2018/3/2,2864.1751,2887.893,2852.0115,2864.1834,2986451700,000016.SH
2018/3/1,2859.09,2907.2684,2852.4923,2891.2982,3228488800,000016.SH
2018/2/28,2899.0023,2905.5729,2866.4622,2878.6666,3875813400,000016.SH
2018/2/27,2979.768,2979.768,2918.007,2927.0968,4620143500,000016.SH
2018/2/26,2973.8138,2986.813,2933.5161,2973.7855,5021402700,000016.SH
2018/2/23,2941.4214,2966.7522,2926.3629,2957.171,3820748900,000016.SH
2018/2/22,2915.9685,2936.8458,2900.8733,2931.8815,3929775300,000016.SH
2018/2/14,2859.8663,2877.0369,2841.2391,2871.7873,2534981400,000016.SH
2018/2/13,2834.3901,2887.893,2834.3901,2852.7169,4662221100,000016.SH
2018/2/12,2803.8592,2823.8067,2776.9576,2805.211,4629000400,000016.SH
2018/2/9,2857.4334,2871.5441,2724.5915,2810.0273,9192589900,000016.SH
2018/2/8,2998.603,3019.2746,2911.403,2945.8438,7311784600,000016.SH
2018/2/7,3147.323,3166.6982,3020.3926,3029.6011,9470049200,000016.SH
2018/2/6,3114.3466,3140.0317,3094.4926,3117.4905,9864662200,000016.SH
2018/2/5,3098.6722,3181.5942,3095.9874,3181.3393,7160734800,000016.SH
2018/2/2,3113.2991,3150.697,3082.9941,3149.6414,5290143600,000016.SH
2018/2/1,3120.1331,3141.7685,3101.3386,3141.23,7219328700,000016.SH
2018/1/31,3063.2335,3118.7622,3062.5284,3116.8331,5560739700,000016.SH
2018/1/30,3109.1853,3127.7506,3077.314,3079.1178,5427594400,000016.SH
2018/1/29,3184.298,3197.8398,3107.9564,3120.6951,7292021400,000016.SH
2018/1/26,3147.4779,3195.072,3147.4779,3172.7776,8216463700,000016.SH
2018/1/25,3171.3495,3177.4071,3124.4555,3157.4592,7736397600,000016.SH
2018/1/24,3189.7683,3202.4699,3150.5532,3180.3318,9913066700,000016.SH
2018/1/23,3145.1079,3177.7627,3144.2813,3176.5042,10169189900,000016.SH
2018/1/22,3104.9585,3144.8513,3104.4049,3130.3299,7746585200,000016.SH
2018/1/19,3122.672,3145.9935,3100.4066,3117.8212,9495530200,000016.SH
2018/1/18,3096.2011,3125.8631,3084.2792,3106.5516,8770692600,000016.SH
2018/1/17,3071.499,3132.9929,3060.2185,3076.1819,9106633000,000016.SH
2018/1/16,3041.3642,3065.1869,3035.7676,3063.8609,6426246800,000016.SH
2018/1/15,3027.2028,3070.9386,3022.4724,3048.8075,6498882100,000016.SH
2018/1/12,2997.9008,3019.702,2993.5648,3018.5957,3816829600,000016.SH
2018/1/11,2986.7923,3009.992,2981.3345,2997.0448,4235182100,000016.SH
2018/1/10,2968.3436,2999.7483,2966.1807,2995.5641,5776385000,000016.SH
2018/1/9,2947.5496,2972.4254,2947.1159,2969.3175,4058903400,000016.SH
2018/1/8,2933.8245,2952.344,2926.8709,2947.7613,5805279300,000016.SH
2018/1/5,2926.7782,2940.1799,2920.0843,2932.3558,4994334800,000016.SH
2018/1/4,2918.2559,2934.1518,2910.6624,2919.4787,4352071100,000016.SH
2018/1/3,2914.2787,2947.6307,2906.5984,2913.2596,4820686500,000016.SH
2018/1/2,2867.5282,2912.2694,2867.5282,2908.7318,5400866800,000016.SH
2017/12/29,2861.919,2876.1918,2849.6787,2860.4363,2863140000,000016.SH
2017/12/28,2842.7313,2870.8941,2829.542,2859.0537,3435148200,000016.SH
2017/12/27,2886.7003,2889.3088,2832.0229,2839.6346,3213867600,000016.SH
2017/12/26,2878.7538,2897.6178,2868.6044,2894.3358,2700102300,000016.SH
2017/12/25,2882.2781,2915.6089,2868.8613,2880.0968,2631409900,000016.SH
2017/12/22,2891.7213,2897.0338,2876.0165,2880.7725,1895688000,000016.SH
